X_Minimum,X_Maximum,Y_Minimum,Y_Maximum,Pixels_Areas,X_Perimeter,Y_Perimeter,Sum_of_Luminosity,Minimum_of_Luminosity,Maximum_of_Luminosity,Length_of_Conveyer,Steel_Plate_Thickness,Edges_Index,Empty_Index,Square_Index,Outside_X_Index,Edges_X_Index,Edges_Y_Index,Outside_Global_Index,LogOfAreas,Log_X_Index,Log_Y_Index,Orientation_Index,Luminosity_Index,SigmoidOfAreas,Defect_Type,Steel_Type
1582,1594,2887095,2887114,101,17,29,13987,110,127,1358,40,0.4569,0.5457,0.7059,0.0111,0.8421,1.0,1.0,2.0043,1.1761,1.4624,0.2941,-0.0731,0.3494,Bumps,A400
7,19,1838781,1838802,163,13,27,16217,98,124,1687,200,0.9164,0.4195,0.3636,0.0041,0.5385,1.0,1.0,2.2122,0.8451,1.4314,0.6364,-0.1272,0.3834,Bumps,A400
39,51,212157,212188,145,20,24,17419,115,135,1358,40,0.0576,0.3549,0.5454,0.0081,0.55,0.9167,1.0,2.1614,1.0414,1.3424,0.4545,-0.0156,0.4366,K_Scatch,A400
24,32,2095494,2095507,106,13,13,10152,81,109,1356,70,0.0362,0.3036,0.9231,0.0074,0.7692,1.0,1.0,2.0253,1.0,1.1139,0.0769,-0.2796,0.2739,Z_Scratch,A300
1088,1101,728281,728304,64,16,8,6902,121,141,1352,40,0.2887,0.3636,0.7,0.0044,0.625,0.75,0.0,1.8062,0.7782,0.9031,-0.3,0.0085,0.2432,Dirtiness,A400
9,18,1622520,1622524,52,11,11,6481,97,124,1356,70,0.0133,0.2727,0.6364,0.0052,0.6364,1.0,1.0,1.716,0.8451,1.0414,0.3636,-0.1752,0.1822,Z_Scratch,A300
1565,1583,1009876,1009999,5702,126,201,516343,63,124,1666,40,0.0972,0.4401,0.2308,0.0117,0.3962,0.9902,1.0,3.756,1.2041,2.3075,0.7692,-0.3702,1.0,Pastry,A400
1190,1219,938265,938349,935,161,88,117325,118,135,1362,40,0.2231,0.5718,0.4193,0.0382,0.3165,0.5,1.0,2.9207,1.716,1.6902,0.5806,-0.0643,0.9999,Z_Scratch,A400
39,194,1545468,1545486,12729,699,387,1487763,38,141,1402,40,0.0556,0.4717,0.9576,0.1084,0.2203,0.3511,0.0,4.1084,2.1818,2.1703,-0.0424,-0.094,1.0,K_Scatch,A400
981,992,3976070,3976080,66,8,10,7519,93,127,1688,70,0.7338,0.175,0.8,0.0047,1.0,1.0,1.0,1.8195,0.9031,1.0,0.2,-0.1234,0.1852,Bumps,A300
19,24,2824729,2824741,102,15,30,8558,44,101,1354,70,0.0266,0.3875,0.2667,0.0044,0.4,1.0,1.0,2.0086,0.7782,1.4771,0.7333,-0.4471,0.286,Z_Scratch,A300
41,214,2896951,2897015,6176,307,140,639433,46,126,1356,40,0.0605,0.4636,0.3988,0.1276,0.5767,0.4615,0.0,3.7907,2.238,1.8261,-0.6012,-0.1851,1.0,K_Scatch,A400
1325,1334,2932024,2932064,126,13,20,13334,90,124,1364,40,0.0651,0.3278,0.45,0.0066,0.6923,1.0,1.0,2.1004,0.9542,1.301,0.55,-0.1705,0.3068,Pastry,A400
803,825,4601186,4601217,118,14,14,11397,91,124,1690,70,0.979,0.2915,0.9286,0.0089,0.9286,0.9286,1.0,2.0719,1.0792,1.1139,0.0714,-0.1561,0.3097,Bumps,A300
923,941,2921961,2921970,270,35,48,348957,101,128,1362,130,0.6483,0.2052,0.1035,0.0096,0.3636,1.0,1.0,2.4314,1.1139,1.6812,0.8965,-0.0702,0.8705,Dirtiness,A400
1338,1347,2086004,2086116,71,13,12,8943,97,124,1654,80,0.2801,0.2333,0.75,0.0066,0.6923,1.0,1.0,1.8513,0.9542,1.0792,0.25,-0.1272,0.257,Bumps,A300
20,31,2315017,2315172,205,24,26,14369,55,94,1648,80,0.0369,0.4368,0.3077,0.0071,0.5,1.0,1.0,2.3117,1.0792,1.415,0.6923,-0.4119,0.4564,Pastry,A300
41,215,117422,1175131,16052,796,469,1847464,21,142,1400,40,0.0586,0.5249,0.9157,0.1289,0.2832,0.4737,0.0,4.2085,2.243,2.2553,-0.0843,-0.09,1.0,K_Scatch,A400
41,230,696884,696948,11535,675,452,1431766,35,143,1400,40,0.0557,0.8888,0.9448,0.133,0.2394,0.3375,0.0,4.062,2.2695,2.2553,-0.0553,-0.0988,1.0,K_Scatch,A400
1617,1629,1671950,1672180,182,26,21,14689,70,93,1690,60,0.0877,0.4221,0.5238,0.0065,0.4231,1.0,1.0,2.2601,1.0414,1.3222,0.4762,-0.3765,0.3834,Bumps,A300
1595,1611,71768,718425,836,72,87,97183,109,127,1698,90,0.0722,0.4433,0.2292,0.0071,0.2445,0.9858,1.0,2.9671,1.0792,1.9685,0.7712,-0.0947,1.0,Dirtiness,A400
194,214,106512,106519,56,25,7,7451,120,141,1354,70,0.2863,0.4514,0.5385,0.0096,0.52,1.0,0.0,1.7482,1.1139,0.8451,-0.4615,-0.02,0.1965,Z_Scratch,A300
438,455,78207,78276,780,90,72,56864,80,124,1687,200,0.6481,0.4022,0.3432,0.0148,0.3771,1.0,1.0,2.8976,1.3979,1.8513,0.6568,-0.2387,0.9994,Pastry,A400
1625,1634,309514,309526,77,15,12,8495,61,109,1688,70,0.0638,0.3636,0.9167,0.0065,0.7333,1.0,1.0,1.8865,1.0414,1.0792,0.0833,-0.3382,0.2432,Bumps,A300
1688,1694,1748216,1748249,242,16,36,24697,24,87,1698,90,0.0047,0.251,0.1667,0.0059,0.4375,1.0,1.0,2.3856,1.0,1.5563,0.8333,-0.5301,0.5822,Pastry,A400
39,214,1299230,1299402,13203,805,503,1567858,25,141,1400,40,0.0557,0.494,0.9459,0.125,0.2174,0.3678,0.0,4.1207,2.243,2.238,-0.054,-0.096,1.0,K_Scatch,A400
893,902,2519944,2519955,82,14,11,8388,65,133,1356,120,0.8357,0.2525,0.8182,0.0066,0.7857,1.0,1.0,1.9138,1.0414,1.0414,0.1818,-0.2141,0.2051,Bumps,A300
418,418,1622520,1622524,17,7,4,2127,109,140,1360,50,0.5965,0.4286,0.5714,0.0052,1.0,1.0,0.0,1.2305,0.8451,0.6021,-0.4286,0.0068,0.1384,Stains,A400
1164,1171,1292132,1292303,390,43,51,4019,63,127,1373,40,0.4144,0.2356,0.3846,0.0088,0.3088,1.0,1.0,2.5911,1.0792,1.7076,0.6154,-0.1984,0.9537,Pastry,A400
41,214,2098521,2098591,6827,274,131,701946,38,124,1358,40,0.0604,0.4433,0.3815,0.1274,0.6268,0.5114,0.0,3.8342,2.238,1.8261,-0.6185,-0.1865,1.0,K_Scatch,A400
43,218,2985655,2985724,7003,252,138,734568,40,127,1356,40,0.0633,0.42,0.3943,0.1291,0.6944,0.5,0.0,3.8453,2.243,1.8389,-0.6057,-0.1805,1.0,K_Scatch,A400
1051,1064,115356,115418,240,24,23,27035,125,143,1372,40,0.4106,0.5029,0.5454,0.0132,0.5833,0.8461,1.0,2.3802,1.2553,1.3424,0.4545,0.0376,0.6268,Bumps,A400
1134,1145,1105359,1105387,184,18,22,18416,84,127,1362,100,0.3237,0.2727,0.5454,0.0088,0.7222,1.0,1.0,2.2648,1.0792,1.3424,0.4545,-0.2496,0.4366,Bumps,A300
49,62,172100,172111,304,30,32,34142,106,127,1356,70,0.071,0.4089,0.375,0.0088,0.4,1.0,1.0,2.4829,1.0792,1.5051,0.625,-0.1033,0.633,Z_Scratch,A300
965,976,289963,2890690,147,20,29,16680,109,133,1372,40,0.7118,0.3536,0.2692,0.0095,0.75,0.9412,1.0,2.1644,1.1139,1.4624,0.7308,-0.0821,0.4729,K_Scatch,A400
1031,1056,1349016,1349036,170,32,19,18720,97,126,1358,70,0.1182,0.6042,0.7059,0.0161,0.8649,0.8421,0.0,2.2304,1.3424,1.2305,-0.2941,-0.1652,0.6619,Bumps,A300
1283,1297,571986,572004,289,18,39,35410,128,164,1387,40,0.1057,0.2702,0.2647,0.0079,0.6111,1.0,1.0,2.4609,1.0414,1.5315,0.7353,0.2423,0.8513,Pastry,A400
39,216,2339627,2339797,7038,257,128,711671,43,135,1358,40,0.4067,0.4433,0.3543,0.1291,0.6693,0.5303,0.0,3.8475,2.243,1.7404,-0.6457,-0.1867,1.0,K_Scatch,A400
1372,1378,799291,799301,59,13,11,4664,84,109,1690,60,0.4436,0.4276,0.8182,0.0053,0.6923,1.0,1.0,1.7708,0.9542,1.0414,0.1818,-0.2563,0.2051,Pastry,A300
1094,1109,1733458,1733471,114,11,14,11447,64,101,1360,80,0.4177,0.2571,0.9167,0.0068,0.7273,1.0,1.0,2.0569,1.0414,1.1461,0.0833,-0.3093,0.257,Bumps,A300
498,527,10555505,10555515,704,97,64,68984,53,126,1358,40,0.6613,0.3131,0.7619,0.0243,0.5156,0.5625,0.0,2.8482,1.5185,1.5563,-0.2381,-0.2372,0.9231,Bumps,A400
875,898,468317,468520,192,32,26,21321,105,126,1362,40,0.8792,0.3987,0.5,0.011,0.4688,1.0,1.0,2.2878,1.1761,1.415,0.5,-0.0971,0.6453,Bumps,A400
852,860,134988,134992,16,6,4,1961,97,141,1358,50,0.732,0.4286,0.5714,0.0044,1.0,1.0,0.0,1.2041,0.7782,0.6021,-0.4286,-0.0723,0.1384,Stains,A400
1063,1088,1359864,1359820,836,54,35,97343,107,135,1356,50,0.4308,0.6352,0.5172,0.0191,0.5179,0.6286,0.0,2.9557,1.415,1.3424,-0.4828,-0.0572,0.9775,Bumps,A400
1617,1629,2887460,2887476,207,28,22,21321,74,109,1633,250,0.0251,0.3462,0.3182,0.0074,0.3571,1.0,1.0,2.316,1.0,1.3424,0.6818,-0.2428,0.4564,Pastry,A400
731,736,724192,724202,17,9,6,2198,123,142,1358,50,0.8838,0.5278,0.8333,0.0044,0.6667,0.8333,0.0,1.2305,0.7782,0.7782,-0.1667,0.0319,0.14,Stains,A400
0,230,4636367,4636375,3786,247,106,479002,112,133,1360,40,0.0,0.6445,0.0296,0.1611,0.0724,0.5833,0.0,3.5884,2.3522,1.6721,-0.9604,-0.0496,1.0,K_Scatch,A400
41,216,2300567,2300643,6652,275,145,677593,43,124,1356,40,0.0605,0.4063,0.3841,0.1291,0.6383,0.5128,0.0,3.8649,2.243,1.8195,-0.6159,-0.1851,1.0,K_Scatch,A400
39,212,1583196,1583189,6490,268,142,674321,40,126,1356,40,0.0574,0.4569,0.3559,0.1274,0.6423,0.3554,0.0,3.8199,2.238,1.8261,-0.6441,-0.1861,1.0,K_Scatch,A400
1325,1332,1484300,1484326,168,19,29,18996,99,125,1354,40,0.0353,0.3925,0.2759,0.0052,0.3684,1.0,1.0,2.2253,0.8451,1.4624,0.7241,-0.1282,0.385,Dirtiness,A300
1134,1156,2750749,2750765,271,36,33,32459,115,141,1374,40,0.2372,0.4024,0.5926,0.0116,0.5,0.9394,1.0,2.433,1.2041,1.4914,0.4074,-0.0206,0.7037,Bumps,A400
13,21,1569522,1569536,19,8,5,2318,105,141,1687,100,0.76,0.2591,0.6667,0.0047,1.0,1.0,0.0,1.2787,0.9031,0.699,-0.3333,-0.0795,0.1361,Pastry,A400
1569,1582,92878,92896,1949,173,188,225778,24,134,1362,40,0.0308,0.4816,0.0992,0.0155,0.1209,1.0,1.0,3.2865,1.3222,2.3117,0.9008,-0.2472,1.0,Pastry,A400
919,928,1029590,1029596,11,6,4,1233,115,140,1358,100,0.2047,0.5,0.3333,0.0044,1.0,1.0,0.0,1.0414,0.7782,0.6021,-0.6667,-0.0038,0.1262,Stains,A300
1687,1694,183725,183734,227,24,31,21300,64,94,1698,90,0.013,0.3565,0.2895,0.0053,0.375,1.0,1.0,2.356,0.9542,1.4914,0.7105,-0.4698,0.6839,Pastry,A400
726,738,560425,560445,196,19,22,20642,99,126,1358,40,0.8805,0.2642,0.5909,0.0088,0.6316,1.0,1.0,2.2923,1.1139,1.3424,0.4091,-0.1279,0.4514,Dirtiness,A400
1073,1088,237729,237702,563,26,50,56735,105,132,1376,40,0.3061,0.4074,0.4,0.011,0.4688,0.8,1.0,2.7118,1.1761,1.699,0.6,-0.0897,0.9963,Bumps,A400
1094,1108,1577037,157044,140,23,24,15517,85,135,1696,60,0.6619,0.2917,0.5833,0.0071,0.4783,1.0,1.0,2.1461,1.0792,1.3802,0.4167,-0.1236,0.3977,Pastry,A400
630,649,5683008,5683014,121,14,12,12173,83,125,1690,60,0.7665,0.2556,0.75,0.0071,0.8571,1.0,1.0,2.0828,1.0792,1.0792,0.25,-0.2455,0.2583,Bumps,A300
1069,1090,745600,745614,169,22,20,16849,79,124,1353,40,0.6647,0.3559,0.7273,0.0125,0.7727,0.9667,0.0,2.2279,1.2305,1.301,-0.2727,-0.2816,0.3977,Bumps,A400
19,28,199985,200008,146,16,24,18674,110,133,1358,70,0.0398,0.3643,0.2813,0.0053,0.375,0.9583,1.0,2.1644,0.9542,1.3617,0.7188,-0.0704,0.4763,Z_Scratch,A300
25,52,714056,714611,613,58,34,68349,82,117,1356,80,0.1724,0.4963,0.4828,0.0196,0.3913,0.9643,1.0,2.8267,1.4314,1.5315,0.5172,-0.2256,0.9961,Bumps,A300
39,212,1637218,1637282,6172,263,137,648030,41,126,1358,40,0.0574,0.4926,0.3815,0.1274,0.6578,0.4925,0.0,3.7904,2.238,1.8195,-0.6185,-0.1902,1.0,K_Scatch,A400
619,630,19000,19123,101,17,39,13829,132,150,1666,90,0.9546,0.3158,0.1389,0.0049,0.6471,1.0,1.0,2.0043,0.9031,1.5563,0.8611,0.0848,0.3068,Dirtiness,A400
732,744,1647908,1647954,119,43,22,13292,104,127,1356,100,0.8357,0.5489,0.9091,0.0148,0.3818,0.8095,0.0,2.0756,1.301,1.3424,-0.0909,-0.081,0.7147,Z_Scratch,A300
39,215,2275954,2276025,6432,262,137,669161,40,124,1358,40,0.0574,0.4291,0.3864,0.1298,0.6298,0.4891,0.0,3.8084,2.2279,1.8325,-0.6136,-0.1884,1.0,K_Scatch,A400
1588,1610,612662,612672,87,9,12,8106,77,109,1692,60,0.0047,0.2875,0.8,0.0047,1.0,1.0,1.0,1.9395,0.9031,1.0792,0.2,-0.2816,0.2288,Bumps,A300
1219,1228,1733458,1733471,65,10,8,9381,129,141,1373,40,0.239,0.2667,0.375,0.0059,0.8,1.0,1.0,1.8129,0.9031,0.9031,0.625,0.0729,0.2018,K_Scatch,A400
41,197,1647218,1647385,12509,670,425,1459713,41,141,1402,40,0.0585,0.4512,0.9737,0.112,0.2652,0.4465,0.0,4.0965,2.1987,2.1732,-0.0263,-0.0927,1.0,K_Scatch,A400
967,974,2824729,2824741,42,10,10,4131,93,133,1356,50,0.0236,0.3889,0.6,0.0044,0.4,1.0,1.0,1.6233,0.7782,1.0,0.4,-0.1244,0.1773,Bumps,A400
39,191,1576208,1576347,7639,578,334,941502,39,141,1402,40,0.0585,0.6246,0.9565,0.1105,0.6223,0.4114,1.0,3.9785,2.2095,2.2041,0.0435,-0.1059,1.0,K_Scatch,A400
791,804,518468,518483,231,39,36,27597,115,135,1360,40,0.9266,0.5454,0.4,0.0187,0.5833,0.4444,0.0,2.3636,1.415,1.0792,-0.6,-0.0481,0.7065,Bumps,A400
853,863,745366,745380,254,63,42,26034,119,140,1360,200,0.6319,0.5619,0.9745,0.0125,0.3304,0.7107,0.0,2.4031,1.2305,1.3424,-0.0255,-0.0035,0.9685,Bumps,A300
0,12,699354,699365,184,31,22,17588,77,109,1687,80,0.0,0.4833,0.6087,0.0088,0.5,1.0,1.0,2.2648,1.0792,1.3424,0.3913,-0.3131,0.6173,Bumps,A300
